"","x.state","ssbsugr2","se"
"10",10,3.80329425171039,0.282170230028874
"18",18,4.67989049940534,0.178011630347915
"19",19,3.52502206758689,0.136829203530658
"28",28,5.03833940803784,0.286593796944589
"34",34,2.14344106337203,0.192528851015174
"36",36,2.53088164002582,0.138818752193186
"54",54,4.56948863566175,0.137834290035049
