"","x.state","sex","x.race.g1","diabete3"
"21.3",21,3,3,0.183271592014498
"22.3",22,3,3,0.0846173554168229
"23.3",23,3,3,0.0665152843320076
"24.3",24,3,3,0.106752053324814
"25.3",25,3,3,0.143858731484826
"26.3",26,3,3,0.104728874852859
"27.3",27,3,3,0.114885397863035
"28.3",28,3,3,0.0721806180712292
"29.3",29,3,3,0.140286977203097
"30.3",30,3,3,0.0456987829933031
"31.3",31,3,3,0.10045490743002
"32.3",32,3,3,0.132406556757399
"33.3",33,3,3,0.113960007799312
"34.3",34,3,3,0.139010458108092
"35.3",35,3,3,0.151554288724655
"36.3",36,3,3,0.135813919434508
"37.3",37,3,3,0.114029765419639
"38.3",38,3,3,0.0978091386085204
"39.3",39,3,3,0.145721652712928
"40.3",40,3,3,0.111964528217455
"41.3",41,3,3,0.181550847432849
"42.3",42,3,3,0.121385559723806
"44.3",44,3,3,0.091507362214543
"45.3",45,3,3,0.0612063622076565
"46.3",46,3,3,0.0468331808856124
"47.3",47,3,3,0.126279086259615
"48.3",48,3,3,0.142145625692151
"49.3",49,3,3,0.0876469212015562
"50.3",50,3,3,0.062078381638577
"51.3",51,3,3,0.0602465592385724
"53.3",53,3,3,0.107884952930611
"54.3",54,3,3,0.118740141693873
"55.3",55,3,3,0.0768598785918353
"56.3",56,3,3,0.103931581376769
"66.3",66,3,3,0.127675128628128
"72.3",72,3,3,0.161441469031661
"78.3",78,3,3,0.0947612103418474
"1.4",1,3,4,0.164992358839004
"2.4",2,3,4,0.0804962629334777
"4.4",4,3,4,0.150874712082245
"5.4",5,3,4,0.230677773062947
"6.4",6,3,4,0.163369505846605
"8.4",8,3,4,0.0652667986577149
"9.4",9,3,4,0.090328726832522
"10.4",10,3,4,0.0787062866772906
"11.4",11,3,4,0.0490476550031923
"12.4",12,3,4,0.131915324761675
"13.4",13,3,4,0.0565019495063055
"15.4",15,3,4,0.154867962437853
"16.4",16,3,4,0.106678826960811
"17.4",17,3,4,0.0820738398219529
"18.4",18,3,4,0.0928318226005181
"19.4",19,3,4,0.0838579225143113
"20.4",20,3,4,0.112952975771797
"21.4",21,3,4,0.212586379339003
"22.4",22,3,4,0.162387347764078
"23.4",23,3,4,0.0929462515971711
"24.4",24,3,4,0.108664880258279
"25.4",25,3,4,0.093632407080395
"26.4",26,3,4,0.105690392197234
"27.4",27,3,4,0.120413223845843
"28.4",28,3,4,0.102935614414622
"29.4",29,3,4,0.0759984100946547
"30.4",30,3,4,0.170142272927119
"31.4",31,3,4,0.121407276958577
"32.4",32,3,4,0.116760438136892
"33.4",33,3,4,0.0616679619419601
"34.4",34,3,4,0.0825022920522883
"35.4",35,3,4,0.177110714021624
"36.4",36,3,4,0.124421100756993
"37.4",37,3,4,0.0982765797816193
"38.4",38,3,4,0.17556088672498
"39.4",39,3,4,0.0669897855720623
"40.4",40,3,4,0.141519397926163
"41.4",41,3,4,0.142970714489163
"42.4",42,3,4,0.061332018444071
"44.4",44,3,4,0.0785848130725105
"45.4",45,3,4,0.122402741821905
"46.4",46,3,4,0.128546255544778
"47.4",47,3,4,0.210610755723286
"48.4",48,3,4,0.0942883230343994
"49.4",49,3,4,0.136767031730314
"50.4",50,3,4,0.139859676430839
"51.4",51,3,4,0.0647021527730899
"53.4",53,3,4,0.0809589640695643
"54.4",54,3,4,0.147829495494833
"55.4",55,3,4,0.0521994651735025
"56.4",56,3,4,0.0838790034732333
"66.4",66,3,4,0.124262162665994
"72.4",72,3,4,0.116593874400399
"78.4",78,3,4,0.20344452779167
"1.5",1,3,5,0.0945921837581386
"2.5",2,3,5,0.0722117585146913
"4.5",4,3,5,0.1318875830309
"5.5",5,3,5,0.196434381978396
"6.5",6,3,5,0.087929232121278
"8.5",8,3,5,0.0991857294070118
"9.5",9,3,5,0.11460599809509
"10.5",10,3,5,0.109796699597447
"11.5",11,3,5,0.184584248887805
"12.5",12,3,5,0.0922522964706999
"13.5",13,3,5,0.0626606396502588
"15.5",15,3,5,0.133625078262121
"16.5",16,3,5,0.180804051498349
"17.5",17,3,5,0.0743380470758906
"18.5",18,3,5,0.177806783888242
"19.5",19,3,5,0.106510035214494
"20.5",20,3,5,0.145648045609672
"21.5",21,3,5,0.196959632778544
"22.5",22,3,5,0.100836796118284
"23.5",23,3,5,0.17134232666735
"24.5",24,3,5,0.0960079514707948
"25.5",25,3,5,0.264215843948633
"26.5",26,3,5,0.128536527304583
"27.5",27,3,5,0.125681449204317
"28.5",28,3,5,0.184081853919996
"29.5",29,3,5,0.136857030734819
"30.5",30,3,5,0.103694708184216
"31.5",31,3,5,0.189672416273724
"32.5",32,3,5,0.0510040899891927
"33.5",33,3,5,0.0809400028147028
"34.5",34,3,5,0.145089170823245
"35.5",35,3,5,0.0584872756827351
"36.5",36,3,5,0.192084520959929
"37.5",37,3,5,0.195441244049703
"38.5",38,3,5,0.0523581105377037
"39.5",39,3,5,0.156330336696487
"40.5",40,3,5,0.15251141369422
"41.5",41,3,5,0.128765519723351
"42.5",42,3,5,0.0945581903973106
"44.5",44,3,5,0.0789780409356885
"45.5",45,3,5,0.130326244887791
"46.5",46,3,5,0.0964714603828053
"47.5",47,3,5,0.271179148939316
"48.5",48,3,5,0.101020531235652
"49.5",49,3,5,0.0939652476999221
"50.5",50,3,5,0.140147892637022
"51.5",51,3,5,0.0742618864948875
"53.5",53,3,5,0.11313306494238
"54.5",54,3,5,0.160996527932904
"55.5",55,3,5,0.0992470230509169
"56.5",56,3,5,0.167247680913444
"66.5",66,3,5,0.0841910892469948
"72.5",72,3,5,1
"78.5",78,3,5,0.0510306276719662
"1.11",1,1,6,0.148246561449867
"2.11",2,1,6,0.0759619465189
"4.11",4,1,6,0.121976425719669
"5.11",5,1,6,0.130723296960381
"6.11",6,1,6,0.104206250716881
"8.11",8,1,6,0.0685758106568285
"9.11",9,1,6,0.101265008407333
"10.11",10,1,6,0.111097565811066
"11.11",11,1,6,0.0610829156994456
"12.11",12,1,6,0.124848022497284
"13.11",13,1,6,0.118263220347648
"15.11",15,1,6,0.109698431518443
"16.11",16,1,6,0.0883583497767637
"17.11",17,1,6,0.0993341869770197
"18.11",18,1,6,0.116051464927025
"19.11",19,1,6,0.0911853893513487
"20.11",20,1,6,0.0992551900206984
"21.11",21,1,6,0.138354513339769
"22.11",22,1,6,0.110951577234731
"23.11",23,1,6,0.11480213432389
"24.11",24,1,6,0.114357470823806
"25.11",25,1,6,0.0969406480363753
"26.11",26,1,6,0.120962624264567
"27.11",27,1,6,0.0915535901123474
"28.11",28,1,6,0.130710368557701
"29.11",29,1,6,0.120496684042655
"30.11",30,1,6,0.082654547052031
"31.11",31,1,6,0.0869313859280884
"32.11",32,1,6,0.106774442485331
"33.11",33,1,6,0.104794814722724
"34.11",34,1,6,0.0985716359451972
"35.11",35,1,6,0.121300582590053
"36.11",36,1,6,0.109584328986447
"37.11",37,1,6,0.107041502289725
"38.11",38,1,6,0.0946535937630817
"39.11",39,1,6,0.115288574117159
"40.11",40,1,6,0.12142139523256
"41.11",41,1,6,0.0988753340508364
"42.11",42,1,6,0.119835083703261
"44.11",44,1,6,0.103126495141819
"45.11",45,1,6,0.130330196987313
"46.11",46,1,6,0.0836248881278568
"47.11",47,1,6,0.133466778905075
"48.11",48,1,6,0.111555433118555
"49.11",49,1,6,0.0781087842596769
"50.11",50,1,6,0.0893583156183345
"51.11",51,1,6,0.107271990294715
"53.11",53,1,6,0.0960760093952627
"54.11",54,1,6,0.151461034523405
"55.11",55,1,6,0.113463062802648
"56.11",56,1,6,0.0847982437875017
"66.11",66,1,6,0.0906508565666893
"72.11",72,1,6,0.150545739892829
"78.11",78,1,6,0.119898495879624
"1.21",1,2,6,0.176117327276241
"2.21",2,2,6,0.111223977033443
"4.21",4,2,6,0.121981484568501
"5.21",5,2,6,0.169890444367881
"6.21",6,2,6,0.155036531862971
"8.21",8,2,6,0.0841497908952817
"9.21",9,2,6,0.126980501504325
"10.21",10,2,6,0.152521208567561
"11.21",11,2,6,0.102620458391051
"12.21",12,2,6,0.155619646225116
"13.21",13,2,6,0.170505507429152
"15.21",15,2,6,0.140246096300259
"16.21",16,2,6,0.116026909410514
"17.21",17,2,6,0.138296238044776
"18.21",18,2,6,0.14012542859417
"19.21",19,2,6,0.112928351733098
"20.21",20,2,6,0.128388358295278
"21.21",21,2,6,0.173726397839608
"22.21",22,2,6,0.164022217396115
"23.21",23,2,6,0.120387194584233
"24.21",24,2,6,0.128472093883586
"25.21",25,2,6,0.13641276580238
"26.21",26,2,6,0.123243409095845
"27.21",27,2,6,0.123678677604939
"28.21",28,2,6,0.178770193190766
"29.21",29,2,6,0.133412031765265
"30.21",30,2,6,0.0931524141892224
"31.21",31,2,6,0.127931787652643
"32.21",32,2,6,0.148479539515607
"33.21",33,2,6,0.110234338343289
"34.21",34,2,6,0.128428820260664
"35.21",35,2,6,0.145607160150096
"36.21",36,2,6,0.123380125829008
"37.21",37,2,6,0.140396629992461
"38.21",38,2,6,0.097560095062178
"39.21",39,2,6,0.141653825793665
"40.21",40,2,6,0.136132294019922
"41.21",41,2,6,0.14302725672551
"42.21",42,2,6,0.141000512758242
"44.21",44,2,6,0.115060794420781
"45.21",45,2,6,0.157996946900086
"46.21",46,2,6,0.09289743522553
"47.21",47,2,6,0.165389838366111
"48.21",48,2,6,0.14510284167163
"49.21",49,2,6,0.122493812001738
"50.21",50,2,6,0.100236383873254
"51.21",51,2,6,0.133792997278275
"53.21",53,2,6,0.118572830672187
"54.21",54,2,6,0.166508759796698
"55.21",55,2,6,0.0887670510803678
"56.21",56,2,6,0.103836378018855
"66.21",66,2,6,0.142803010412422
"72.21",72,2,6,0.171221354208036
"78.21",78,2,6,0.161927196720597
