"","x.state","hlthpln1","se","persdoc2","se","x.rfhlth","se"
"1",1,0.871516267060972,0.00618723153284666,0.78677025964093,0.00729494038003088,0.773889818989998,0.00652999213937254
"2",2,0.89311641635465,0.00975905331926101,0.678448640592608,0.0148297782047672,0.861689060149185,0.00932106180162643
"4",4,0.875228029795984,0.00701027122612187,0.733311623863658,0.00822015825043009,0.814379065785511,0.00651157670335106
"5",5,0.896385143171169,0.00922838093734173,0.803208243312092,0.0117352737652692,0.744314631829779,0.0105783843964538
"6",6,0.892042766400173,0.00375063415528966,0.760058917768294,0.00506075051367931,0.82156352189514,0.00470815670603965
"8",8,0.893871174115186,0.00382546299192247,0.743844697874798,0.00521879635678801,0.855300676887095,0.00382162008353747
"9",9,0.931366875982387,0.0041670527693815,0.851763673470404,0.00563541264404141,0.85634557256344,0.0046457156832669
"10",10,0.914426324211135,0.00686577346833735,0.83194630655548,0.00888118534270603,0.835833018283885,0.00770533397053009
"11",11,0.947137279237002,0.00563456817142997,0.75359993624273,0.010158247289073,0.88400661156294,0.00652425591041345
"12",12,0.836711199562359,0.00431401511201752,0.719564488271823,0.00510923630509936,0.80507908408839,0.00452277941620165
"13",13,0.830005131149705,0.00756468518633405,0.72719833022188,0.00876616993173557,0.809087698120441,0.0070961919606044
"15",15,0.929904988600601,0.0046676616636324,0.847182303904069,0.00617042045784982,0.852420116440098,0.00569645526822591
"16",16,0.844873963759956,0.0084955831498373,0.723231335915135,0.00992488383496674,0.841273004891069,0.00718350077078959
"17",17,0.909855933975455,0.0057551826562391,0.821435438144263,0.00749319929857152,0.819667810352283,0.00692943375746239
"18",18,0.889190486254324,0.00525295858694911,0.817361869470371,0.0060574842678015,0.815306321313842,0.00510182782844284
"19",19,0.935376386331086,0.00451311543327467,0.833872013488603,0.00637716971381035,0.860761684303953,0.005153207136327
"20",20,0.871214529107103,0.00450070869541501,0.77577780864406,0.00547760087400827,0.845874691734997,0.00411157076614398
"21",21,0.943092741714269,0.00392088358569178,0.796103906354781,0.0066944334759013,0.775330899518436,0.0060788897583671
"22",22,0.864053151032422,0.00863147057576845,0.753583964012556,0.0107120869488467,0.781149726569938,0.00879396485416426
"23",23,0.912998063357834,0.00500010282468864,0.881083234535267,0.00573366819189066,0.836325022552441,0.00567193165392217
"24",24,0.915971698260788,0.00405539380795985,0.847760791737239,0.00494449613367821,0.855783177648295,0.00420704949995674
"25",25,0.942976699932169,0.00398775304006407,0.888541792410198,0.00492975402568119,0.858907497713484,0.00539544930391677
"26",26,0.918116367739287,0.00369866488260245,0.852192481367813,0.00456774406028551,0.819727025139091,0.00445675789144088
"27",27,0.935997537710414,0.00249721334470622,0.727271621916031,0.00433321988084563,0.873031443512758,0.00309469565026909
"28",28,0.834323837947888,0.00782239970100853,0.773852640500418,0.00888149819449929,0.768276388370939,0.00755255963893128
"29",29,0.889108854536309,0.00623200552423103,0.779330511712385,0.00825515164718622,0.809786954504267,0.0068926946359256
"30",30,0.899961343649878,0.00632844732012837,0.736015145725459,0.0087522058293964,0.844085412452267,0.00638901637299362
"31",31,0.87830917753947,0.00496573977790181,0.809313476358707,0.00560920418123239,0.853230095241034,0.00442731166421824
"32",32,0.854408998827037,0.00813153132477115,0.692496037389566,0.0105116173130605,0.790579700675696,0.00907950583304951
"33",33,0.932464593806978,0.00491527475134909,0.878625757802963,0.00679121449439849,0.859430208738846,0.00616437168950751
"34",34,0.892619611703191,0.0059800484672542,0.822700243711573,0.00720586528904132,0.824508512717653,0.00686735171871778
"35",35,0.902132407869356,0.0062917792366211,0.701043936103906,0.00955762960513671,0.783391169508671,0.00762424796148161
"36",36,0.904910440786273,0.00368805516274876,0.833770091929726,0.00434638146659617,0.830913101152494,0.0041819309174362
"37",37,0.862285944528789,0.00561574998697664,0.787594797038343,0.00649501790822439,0.817041607879046,0.00583362178921425
"38",38,0.922138687458834,0.00532529961380248,0.738952392364588,0.00827436908842901,0.851821521469959,0.00616267203657205
"39",39,0.931576236999927,0.00394518907293486,0.826562529356667,0.0058750550560945,0.820052449575174,0.00525878489335461
"40",40,0.85219956309952,0.00685771775706374,0.752822253537375,0.00805990841515356,0.798280111853814,0.00642285385667213
"41",41,0.908356815570868,0.00533974969835794,0.785728221350407,0.00708810839507045,0.835927073754296,0.0061556800384754
"42",42,0.931992319371952,0.00466896873122023,0.857750680546746,0.00592030350588551,0.834282115893773,0.00601026313323173
"44",44,0.924354333007442,0.0064741680738099,0.87178769823672,0.00760721560921021,0.843628175001657,0.00698472456098912
"45",45,0.869298064115946,0.0052870865493442,0.784088875428187,0.00636358404319027,0.799688833631557,0.00528538656056538
"46",46,0.917887098006968,0.00705721279409872,0.760263096413872,0.0107245203054966,0.869727812700768,0.00732783895896929
"47",47,0.886946886575709,0.00656254703024626,0.780147511923739,0.00838839602151795,0.795332365550119,0.00689100676554078
"48",48,0.782902837148733,0.00782308084097686,0.689068200281864,0.00859220550216856,0.816882852071528,0.0067277599766214
"49",49,0.884475674700166,0.00483975509192356,0.727336709974683,0.00623412255333311,0.882987711244117,0.00422410800991004
"50",50,0.947501425815826,0.00416467617204837,0.880460516696832,0.00627129516474717,0.865354522103571,0.0057865687356233
"51",51,0.886494591169097,0.00476283486749859,0.779350577448419,0.00607501353405299,0.836867961292976,0.0048889823728755
"53",53,0.912632015079704,0.00357415186530489,0.756842361591847,0.00508764206387472,0.856341014390046,0.00377473000452007
"54",54,0.926742984805671,0.0042809285884553,0.804984379341138,0.00615701938447879,0.737366543808399,0.00606620353354469
"55",55,0.912975079780783,0.00622794892917564,0.828799334084484,0.0078113567921898,0.840426521901612,0.00699461156420938
"56",56,0.863317126266614,0.0090510317126772,0.689021432051287,0.011629305169347,0.843482368247287,0.0082389388441008
"66",66,0.770450078700934,0.0177353698359653,0.680367242397444,0.0186915046270361,0.78186039715381,0.0159491106971008
"72",72,0.925939297490954,0.00539494762297456,0.830207714562623,0.00732906744382532,0.656603381954757,0.00867189058730235
"78",78,0.704718703406658,0.0222411881571824,0.669834789497947,0.0218555263809115,0.797123214794549,0.0180808746250493
