"","x.state","x.michd","se","x.state","cvdinfr4","se","x.state","cvdstrk3","se","x.state","cvdcrhd4","se"
"36",36,0.0605132914873089,0.00255904305397766,36,0.0403665920281167,0.00329696517415619,36,0.037090553984001,0.00357147958455677,36,0.052790530377029,0.00469973600490535
"37",37,0.0713544921583072,0.00366341083715158,37,0.0473034213959606,0.00319861284129549,37,0.051292551928854,0.00556536673667188,37,0.0716786034233632,0.00761132291166835
"38",38,0.0652108731032563,0.00361893404167202,38,0.0446931422703197,0.0031600883351149,38,0.0356210296143321,0.00390093657862558,38,0.0605617813200783,0.00629161733052667
"39",39,0.073565375821811,0.00319151684057086,39,0.0561091989107582,0.00395797543665197,39,0.0460180959040742,0.00432190043262246,39,0.0729760770652713,0.00712493563537849
"40",40,0.077917016240615,0.0036408018067727,40,0.0574789803822723,0.00356603563507297,40,0.0690354141192437,0.00786157220935461,40,0.0774318641306783,0.0064567982742786
"41",41,0.0663853001102529,0.00377952367097917,41,0.0497607851049632,0.00411182093614313,41,0.0523547796137867,0.00632565148979675,41,0.0619806030079869,0.00619433238997665
"42",42,0.0726490548821097,0.00403119639143953,42,0.0494064088692589,0.00345793743312589,42,0.0598458182822193,0.00964070089116707,42,0.0603280164761427,0.0065168021979106
"44",44,0.0613735458249338,0.00382571008069259,44,0.0500564858822926,0.00491381314917598,44,0.0389823481378415,0.00653410820710484,44,0.049824996421645,0.00497003201773674
"45",45,0.0705387222675794,0.00285285095074628,45,0.0527448677155292,0.00324296936643864,45,0.0609075849208895,0.0104922936955374,45,0.0796828278117974,0.00674820986352248
"46",46,0.0742227098656476,0.00539544783454451,46,0.0475287270542526,0.00420535028593383,46,0.029721033257599,0.00477193347837763,46,0.0692408861777547,0.00734408642205342
"47",47,0.0838515589486041,0.00415216125903778,47,0.0615552631329482,0.00441950948090529,47,0.0591327335099684,0.00628301741781666,47,0.0733364349867706,0.00685953834060732
"48",48,0.0593794716056337,0.00407587194861673,48,0.0386623612389895,0.0038954687110106,48,0.0384851039765526,0.00663368261847353,48,0.0543593441360488,0.00761324748877872
"49",49,0.0389122187046623,0.00212602126468378,49,0.0301364605153866,0.00263048862967746,49,0.0314166388478814,0.0039752698075539,49,0.0342477601814212,0.00501550476545335
"50",50,0.060580862325017,0.0035225270532328,50,0.0471054122745482,0.00368296775908255,50,0.0392177480030974,0.00501365208370947,50,0.0595174358514204,0.00803566310614839
"51",51,0.0626895504276707,0.00294575386319283,51,0.0487829416461948,0.00324468023166405,51,0.04139181864422,0.00416978907954532,51,0.058085140543696,0.00544406047583452
"53",53,0.0579540107621807,0.00216278713805881,53,0.0440968107795405,0.00334356470289147,53,0.0575017617688684,0.00649144924905454,53,0.0584735502508299,0.00475839286710884
"54",54,0.118625584478315,0.00410995730594209,54,0.0790123387465294,0.0039312621517196,54,0.0750205418471541,0.00815827012034754,54,0.116044738580944,0.00824208616539222
"55",55,0.0666751168395837,0.00415199647125747,55,0.0450529487366542,0.00419485271252755,55,0.0389967711417717,0.00629537476414713,55,0.0612759513235049,0.00672234775110404
"56",56,0.061526866968214,0.00452331525397872,56,0.0507765244451175,0.00646365814027538,56,0.037735503127781,0.00593416806932875,56,0.048855871130291,0.00606864557564354
"66",66,0.0583502516698559,0.00821638793993826,66,0.0332924750567127,0.00499567215605632,66,0.0390170199270103,0.0107320840428682,66,0.052865148100182,0.01075448521982
"72",72,0.110319490736851,0.00549164524881831,72,0.0636010659173942,0.00498520140611141,72,0.0364447106913073,0.0069022883225984,72,0.0774653542175069,0.00453350621270127
"78",78,0.0390492258132005,0.009180825475715,78,0.0288037757345671,0.00847770278490036,78,0.0175411561598607,0.00556781596751048,78,0.0248430703601366,0.00814669863397242
