"","x.state","ssbfrut2","se"
"10",10,3.50243111546417,0.295527502250148
"18",18,3.33225505436564,0.112617700705141
"19",19,1.8243030308029,0.0802658295218258
"28",28,4.45462385631268,0.181659951490253
"34",34,2.45830723990306,0.220106752114535
"36",36,2.21293214006691,0.0677470361395485
"54",54,3.20552692379508,0.128574416952411
