"","fips","sex","x.race.g1","prediab1"
"21.2.3",21,2,3,0.231699456241787
"22.2.3",22,2,3,0.243710026855595
"28.2.3",28,2,3,0.118671813848276
"31.2.3",31,2,3,0.0996755587228044
"32.2.3",32,2,3,0.150176605636728
"35.2.3",35,2,3,0.173269683953988
"36.2.3",36,2,3,0.115666145067187
"40.2.3",40,2,3,0.0859952601360476
"41.2.3",41,2,3,0.0803846481789656
"45.2.3",45,2,3,0.0837848545672146
"46.2.3",46,2,3,0.168239504262804
"51.2.3",51,2,3,0.171190172368532
"54.2.3",54,2,3,0.0880135496228035
"55.2.3",55,2,3,0.109426768078208
"66.2.3",66,2,3,0.345403020892614
"72.2.3",72,2,3,0.146335008009549
"78.2.3",78,2,3,0.179988019462548
"1.1.4",1,1,4,0.0735297283930279
"2.1.4",2,1,4,0.114329681154837
"9.1.4",9,1,4,0.0890507434403584
"10.1.4",10,1,4,0.0999620155830424
"11.1.4",11,1,4,0.0583975269810497
"12.1.4",12,1,4,0.161144796137196
"15.1.4",15,1,4,0.216982951334211
"16.1.4",16,1,4,0.0231651558320124
"17.1.4",17,1,4,0.0500190210603186
"19.1.4",19,1,4,0.0513228307574248
"21.1.4",21,1,4,0.0863297584269153
"22.1.4",22,1,4,0.0151773428555629
"28.1.4",28,1,4,0.0511813287564444
"31.1.4",31,1,4,0.0329332782215947
"32.1.4",32,1,4,0.107188586690669
"35.1.4",35,1,4,0.09575703596306
"36.1.4",36,1,4,0.131264395484043
"40.1.4",40,1,4,0.168356521317725
"41.1.4",41,1,4,0.197898379704603
"45.1.4",45,1,4,0.0892515592463645
"46.1.4",46,1,4,0.143909105174465
"51.1.4",51,1,4,0.182062775960754
"54.1.4",54,1,4,0.199881810582767
"55.1.4",55,1,4,0.0581100245364678
"66.1.4",66,1,4,0.227610163491254
"72.1.4",72,1,4,0
"78.1.4",78,1,4,0.174863677359629
"1.2.4",1,2,4,0.0860693950765478
"2.2.4",2,2,4,0.182690458238845
"9.2.4",9,2,4,0.0963424475995874
"10.2.4",10,2,4,0.0887148872685453
"11.2.4",11,2,4,0.110848119749526
"12.2.4",12,2,4,0.133779426240111
"15.2.4",15,2,4,0.197363396109203
"16.2.4",16,2,4,0.175530456962556
"17.2.4",17,2,4,0.0624714111118453
"19.2.4",19,2,4,0.00648000090003467
"21.2.4",21,2,4,0.122728476944952
"22.2.4",22,2,4,0.041452250465088
"28.2.4",28,2,4,0.071116053346795
"31.2.4",31,2,4,0.0836844058055058
"32.2.4",32,2,4,0.222862343843344
"35.2.4",35,2,4,0.186793312100608
"36.2.4",36,2,4,0.142146619152855
"40.2.4",40,2,4,0.131930562963758
"41.2.4",41,2,4,0.134468103006789
"45.2.4",45,2,4,0.112648379381061
"46.2.4",46,2,4,0.199859510604498
"51.2.4",51,2,4,0.127797375015441
"54.2.4",54,2,4,0.0428012916672629
"55.2.4",55,2,4,0.0711647802157552
"66.2.4",66,2,4,0.189918304918861
"72.2.4",72,2,4,0
"78.2.4",78,2,4,0.0634966690786285
"41.9.4",41,9,4,0
"1.1.5",1,1,5,0.172213692168613
"2.1.5",2,1,5,0.199952328273364
"9.1.5",9,1,5,0.0487230555633124
"10.1.5",10,1,5,0.0715915674290449
"11.1.5",11,1,5,0.146312481515704
"12.1.5",12,1,5,0.172298187465422
"15.1.5",15,1,5,0.152464632267044
"16.1.5",16,1,5,0.053286787246261
"17.1.5",17,1,5,0.110715921513878
"19.1.5",19,1,5,0
"21.1.5",21,1,5,0.142112443731956
"22.1.5",22,1,5,0.0390447104123218
"28.1.5",28,1,5,0.17159785147313
"31.1.5",31,1,5,0.0769826802799002
"32.1.5",32,1,5,0.0733795166930017
"35.1.5",35,1,5,0.219715703188051
"36.1.5",36,1,5,0.261922700770717
"40.1.5",40,1,5,0.0551208631954338
"41.1.5",41,1,5,0.138570133813603
"45.1.5",45,1,5,0.088145265388319
"46.1.5",46,1,5,0.0356903516483638
"51.1.5",51,1,5,0.0701025915613832
"54.1.5",54,1,5,0.302335982077591
"55.1.5",55,1,5,0.156615841684688
"66.1.5",66,1,5,0.11036458652584
"78.1.5",78,1,5,0.0923722859565934
"1.2.5",1,2,5,0.0612427653461934
"2.2.5",2,2,5,0.243630456467734
"9.2.5",9,2,5,0.117957424524097
"10.2.5",10,2,5,0.149994883178513
"11.2.5",11,2,5,0.26599209589677
"12.2.5",12,2,5,0.300896783318855
"15.2.5",15,2,5,0.204998130521147
"16.2.5",16,2,5,0.25832388039336
"17.2.5",17,2,5,0.259317664943686
"19.2.5",19,2,5,0.169610710226981
"21.2.5",21,2,5,0.265791692998503
"22.2.5",22,2,5,0.14822359240199
"28.2.5",28,2,5,0.249581939913044
"31.2.5",31,2,5,0.0435614941630995
"32.2.5",32,2,5,0.174574572133854
"35.2.5",35,2,5,0.182562836885908
"36.2.5",36,2,5,0.257471689426772
"40.2.5",40,2,5,0.210444888346314
"41.2.5",41,2,5,0.141489577952704
"45.2.5",45,2,5,0.182709439182257
"46.2.5",46,2,5,0.0854380213049147
"51.2.5",51,2,5,0.101800001106834
"54.2.5",54,2,5,0.0844637488650349
"55.2.5",55,2,5,0.2674372490174
"66.2.5",66,2,5,0.128904222733575
"78.2.5",78,2,5,0.637407118092372
"15.9.5",15,9,5,0
"41.9.5",41,9,5,0
"1.1",1,3,1,0.0966243072816756
"2.1",2,3,1,0.133762358619389
"9.1",9,3,1,0.08792541005799
"10.1",10,3,1,0.138056459210882
"11.1",11,3,1,0.0686637104381378
"12.1",12,3,1,0.120553042414625
"15.1",15,3,1,0.14595461871077
"16.1",16,3,1,0.102386561444916
"17.1",17,3,1,0.0956766074752745
"19.1",19,3,1,0.0894386139596682
"21.1",21,3,1,0.117882510571221
"22.1",22,3,1,0.0951865553213537
"28.1",28,3,1,0.0951775836049562
"31.1",31,3,1,0.0784306410803373
"32.1",32,3,1,0.113735332157564
"35.1",35,3,1,0.116244854949964
"36.1",36,3,1,0.0980221157808229
"40.1",40,3,1,0.0936196885386653
"41.1",41,3,1,0.117810892736414
"45.1",45,3,1,0.0954482287294641
"46.1",46,3,1,0.0822810219303387
"51.1",51,3,1,0.109415388353066
"54.1",54,3,1,0.12202378696159
"55.1",55,3,1,0.109695067834125
"66.1",66,3,1,0.0996836500408742
"72.1",72,3,1,0.231032600670586
"78.1",78,3,1,0.0882826749662769
"1.2",1,3,2,0.104548396256574
"2.2",2,3,2,0.158937507280485
"9.2",9,3,2,0.138780858055958
"10.2",10,3,2,0.192368655631087
"11.2",11,3,2,0.185583256282908
"12.2",12,3,2,0.166692126983496
"15.2",15,3,2,0.266513606199165
"16.2",16,3,2,0.0521041188043519
"17.2",17,3,2,0.117977070583416
"19.2",19,3,2,0.0760050876211745
"21.2",21,3,2,0.10794397147206
"22.2",22,3,2,0.0956152807288898
"28.2",28,3,2,0.102686525732872
"31.2",31,3,2,0.119650712803087
"32.2",32,3,2,0.144356678724751
"35.2",35,3,2,0.074493346360214
"36.2",36,3,2,0.139193468678506
"40.2",40,3,2,0.112767903353351
"41.2",41,3,2,0.15656293021912
"45.2",45,3,2,0.141075011604445
"46.2",46,3,2,0.0762431047571392
"51.2",51,3,2,0.174711765129267
"54.2",54,3,2,0.160737005953906
"55.2",55,3,2,0.141562667747432
"66.2",66,3,2,0.109909336365239
"72.2",72,3,2,0.0134686056791099
"78.2",78,3,2,0.159086636114657
"1.3",1,3,3,0.0542634391761978
"2.3",2,3,3,0.0795274564043429
"9.3",9,3,3,0.124590378615145
"10.3",10,3,3,0.104283737158399
"11.3",11,3,3,0.0990032627043551
"12.3",12,3,3,0.0907927408522363
"15.3",15,3,3,0.147281633250737
"16.3",16,3,3,0.0752292565741212
"17.3",17,3,3,0.107906837635212
"19.3",19,3,3,0.0804210507350057
"21.3",21,3,3,0.125889913625995
"22.3",22,3,3,0.12823983624541
"28.3",28,3,3,0.0691327111281645
"31.3",31,3,3,0.0622485634367077
"32.3",32,3,3,0.11853770835529
"35.3",35,3,3,0.119520473777011
"36.3",36,3,3,0.0924184909411374
"40.3",40,3,3,0.0815361092012101
"41.3",41,3,3,0.0935304517236341
"45.3",45,3,3,0.064245262952922
"46.3",46,3,3,0.113726854791215
"51.3",51,3,3,0.119852348682705
"54.3",54,3,3,0.0510455887055974
"55.3",55,3,3,0.0680562090814425
"66.3",66,3,3,0.252999829231123
"72.3",72,3,3,0.126194050320278
"78.3",78,3,3,0.106160196969332
"1.4",1,3,4,0.0794447580979016
"2.4",2,3,4,0.149413830550087
"9.4",9,3,4,0.0924625266422127
"10.4",10,3,4,0.0960770339758668
"11.4",11,3,4,0.0823923918289416
"12.4",12,3,4,0.147226501312235
"15.4",15,3,4,0.206411368294607
"16.4",16,3,4,0.117109840649183
"17.4",17,3,4,0.0550542010212817
"19.4",19,3,4,0.0337105296383345
"21.4",21,3,4,0.1029029398352
"22.4",22,3,4,0.0270725540620591
"28.4",28,3,4,0.061057309560366
"31.4",31,3,4,0.0563135073571202
"32.4",32,3,4,0.165239559153045
"35.4",35,3,4,0.147709966892931
"36.4",36,3,4,0.137056235642177
"40.4",40,3,4,0.150116536341473
"41.4",41,3,4,0.165815563241078
"45.4",45,3,4,0.100104194946165
"46.4",46,3,4,0.170837640062529
"51.4",51,3,4,0.15263703133427
"54.4",54,3,4,0.123425460570484
"55.4",55,3,4,0.0651266313646764
"66.4",66,3,4,0.208297302719798
"72.4",72,3,4,0
"78.4",78,3,4,0.122443962642621
"1.5",1,3,5,0.129706027446059
"2.5",2,3,5,0.225603995388989
"9.5",9,3,5,0.0824485218669943
"10.5",10,3,5,0.12026194318382
"11.5",11,3,5,0.202430787026989
"12.5",12,3,5,0.23525355180611
"15.5",15,3,5,0.178405467052692
"16.5",16,3,5,0.118377700456982
"17.5",17,3,5,0.18954304936624
"19.5",19,3,5,0.111184636708132
"21.5",21,3,5,0.192922552075291
"22.5",22,3,5,0.0824127478273367
"28.5",28,3,5,0.195254200171043
"31.5",31,3,5,0.0596284478943294
"32.5",32,3,5,0.136064729062187
"35.5",35,3,5,0.207715735348661
"36.5",36,3,5,0.259827898720722
"40.5",40,3,5,0.129280392947089
"41.5",41,3,5,0.139643366448997
"45.5",45,3,5,0.13227471100198
"46.5",46,3,5,0.0563125793666869
"51.5",51,3,5,0.0896924018752594
"54.5",54,3,5,0.207512163406032
"55.5",55,3,5,0.222348501661224
"66.5",66,3,5,0.119356560620805
"78.5",78,3,5,0.444992777846178
"1.11",1,1,6,0.0833398596230001
"2.11",2,1,6,0.110559547212752
"9.11",9,1,6,0.0874893249985714
"10.11",10,1,6,0.122479876753466
"11.11",11,1,6,0.108591987479799
"12.11",12,1,6,0.104659693387313
"15.11",15,1,6,0.176063608348897
"16.11",16,1,6,0.0752900621243738
"17.11",17,1,6,0.0934063575164367
"19.11",19,1,6,0.0812394748031574
"21.11",21,1,6,0.0839291465982351
"22.11",22,1,6,0.0733570871253476
"28.11",28,1,6,0.0746850346848978
"31.11",31,1,6,0.0587795123319822
"32.11",32,1,6,0.0983998994404721
"35.11",35,1,6,0.0850492702894009
"36.11",36,1,6,0.0947947259908748
"40.11",40,1,6,0.0840788707920389
"41.11",41,1,6,0.106759843716046
"45.11",45,1,6,0.0916524637300543
"46.11",46,1,6,0.0736335308278136
"51.11",51,1,6,0.104678237515337
"54.11",54,1,6,0.117561497977279
"55.11",55,1,6,0.0908401330100927
"66.11",66,1,6,0.195860789488954
"72.11",72,1,6,0.103742244739968
"78.11",78,1,6,0.0922789323335985
"1.21",1,2,6,0.109488679132358
"2.21",2,2,6,0.170292674922387
"9.21",9,2,6,0.107020765636038
"10.21",10,2,6,0.163424703976691
"11.21",11,2,6,0.138763260624111
"12.21",12,2,6,0.137475230091476
"15.21",15,2,6,0.18472832378419
"16.21",16,2,6,0.12303858880066
"17.21",17,2,6,0.105590990751188
"19.21",19,2,6,0.0937522824696682
"21.21",21,2,6,0.148958489453558
"22.21",22,2,6,0.11536254622093
"28.21",28,2,6,0.117676199063085
"31.21",31,2,6,0.0963019212128021
"32.21",32,2,6,0.147863724435095
"35.21",35,2,6,0.154864392928189
"36.21",36,2,6,0.120890683141263
"40.21",40,2,6,0.116573541441818
"41.21",41,2,6,0.131186354867234
"45.21",45,2,6,0.118578161570882
"46.21",46,2,6,0.105851618582408
"51.21",51,2,6,0.143292887679508
"54.21",54,2,6,0.128610214662772
"55.21",55,2,6,0.124257691258631
"66.21",66,2,6,0.18504465459322
"72.21",72,2,6,0.145770432356564
"78.21",78,2,6,0.193394549025113
"11.9",11,9,6,0
"15.9",15,9,6,0
"19.9",19,9,6,0
"22.9",22,9,6,0
"36.9",36,9,6,0
"41.9",41,9,6,0
