"","fips","sex","x.race.g1","x.michd","fips","sex","x.race.g1","cvdinfr4","fips","sex","x.race.g1","cvdstrk3","fips","sex","x.race.g1","cvdcrhd4"
"1.11.1",11,1,1,0.032849341860483,45,1,1,0.0752674978152657,45,1,1,0.0607542131329499,45,1,1,0.122854780431333
"2.11.1",11,1,2,0.0688944135367037,46,1,1,0.0707261029225397,46,1,1,0.0216205327912312,46,1,1,0.0938238507798984
"3.11.1",11,1,3,0.00833008867605788,47,1,1,0.0858247413344485,47,1,1,0.0620394176810966,47,1,1,0.100408264232775
"4.11.1",11,1,4,0.0127611976319872,48,1,1,0.0594730360262046,48,1,1,0.0568956625944182,48,1,1,0.0684321140746512
"5.11.1",11,1,5,0,49,1,1,0.0484717091104667,49,1,1,0.0327636216316205,49,1,1,0.0471273564073384
"1.12.1",12,1,1,0.118935825013784,50,1,1,0.0618420851731919,50,1,1,0.0430820587158826,50,1,1,0.0711494594832899
"2.12.1",12,1,2,0.0724176281280972,51,1,1,0.0633048011361691,51,1,1,0.0399459690096306,51,1,1,0.0850739638948231
"3.12.1",12,1,3,0.056744367258588,53,1,1,0.0572087089088582,53,1,1,0.0595053309469925,53,1,1,0.0813690568755475
"4.12.1",12,1,4,0.0971193003364219,54,1,1,0.0956572264007485,54,1,1,0.0677288129920334,54,1,1,0.133749522939761
"5.12.1",12,1,5,0.0460811898857036,55,1,1,0.0584981228553528,55,1,1,0.0433039692733162,55,1,1,0.0938238425340733
"1.13.1",13,1,1,0.0966477675748906,56,1,1,0.0565484363071791,56,1,1,0.0297160977977352,56,1,1,0.0633957775826372
"2.13.1",13,1,2,0.0572115649014479,66,1,1,0.00395383477193465,66,1,1,0.00351314005019936,66,1,1,0.0811484016835638
"3.13.1",13,1,3,0.0584718698233721,72,1,1,0.111392007109871,72,1,1,0,72,1,1,0.243364145847507
"4.13.1",13,1,4,0.00251275363233989,78,1,1,0.165123583152031,78,1,1,0.00241704680728888,78,1,1,0.127536063282393
"5.13.1",13,1,5,0.192422032469593,1,1,2,0.0528808268264688,1,1,2,0.052025398984717,1,1,2,0.0542603858232326
"1.15.1",15,1,1,0.0857069824343917,2,1,2,0.018882867644917,2,1,2,0.018882867644917,2,1,2,0
"2.15.1",15,1,2,0.0338408013568894,4,1,2,0.0450542329014658,4,1,2,0.0512940992998872,4,1,2,0.0338740038300216
"3.15.1",15,1,3,0.0420067590988678,5,1,2,0.0262206171423403,5,1,2,0.0549213339354159,5,1,2,0.0545227538445667
"4.15.1",15,1,4,0.0652164690100344,6,1,2,0.0442817041239534,6,1,2,0.026520773154148,6,1,2,0.0655584211037254
"5.15.1",15,1,5,0.0698604735954769,8,1,2,0.0273268238915846,8,1,2,0.0264636427995243,8,1,2,0.0228813431345745
"1.16.1",16,1,1,0.0762885833499069,9,1,2,0.0332468741623408,9,1,2,0.0194321502162254,9,1,2,0.0982285906461864
"2.16.1",16,1,2,0.0920432952033536,10,1,2,0.039588196337145,10,1,2,0.0244164222295279,10,1,2,0.0158688536634272
"3.16.1",16,1,3,0.0221388055391977,11,1,2,0.0613274118270632,11,1,2,0.0710224379504147,11,1,2,0.0553867956036383
"4.16.1",16,1,4,0.0867757528750729,12,1,2,0.0615132799918989,12,1,2,0.0483961323441029,12,1,2,0.0384383735774862
"5.16.1",16,1,5,0.0327041280137151,13,1,2,0.0447964619636837,13,1,2,0.0504205706224854,13,1,2,0.0540962070793629
"1.17.1",17,1,1,0.0846133482437468,15,1,2,0,15,1,2,0,15,1,2,0.0338408013568894
"2.17.1",17,1,2,0.0480651881260036,16,1,2,0.0920432952033536,16,1,2,0.0920432952033536,16,1,2,0.0920432952033536
"3.17.1",17,1,3,0.0437034808989339,17,1,2,0.128686562828854,17,1,2,0.0406545576331829,17,1,2,0.0336663076523009
"4.17.1",17,1,4,0.0482325120087737,18,1,2,0.139312764073659,18,1,2,0.0600934654941249,18,1,2,0.0397915529726331
"5.17.1",17,1,5,0.0487996995032112,19,1,2,0.0556340781992185,19,1,2,0.02807313670545,19,1,2,0
"1.18.1",18,1,1,0.0962951073670924,20,1,2,0.0521282560065118,20,1,2,0.0943926307346062,20,1,2,0.0366297002263105
"2.18.1",18,1,2,0.0801092554651606,21,1,2,0.0626987324614932,21,1,2,0.0587673613441314,21,1,2,0.0572307596647227
"3.18.1",18,1,3,0.0441816777794957,22,1,2,0.041579751977731,22,1,2,0.0466698446145007,22,1,2,0.079797343367524
"4.18.1",18,1,4,0.0310783525346285,23,1,2,0,23,1,2,0,23,1,2,0
"5.18.1",18,1,5,0.0422542816719747,24,1,2,0.0597377943994772,24,1,2,0.0555954767869601,24,1,2,0.0366055549896773
"1.19.1",19,1,1,0.0846851697026605,25,1,2,0.0219927455057561,25,1,2,0.067223621138487,25,1,2,0.0256251282970567
"2.19.1",19,1,2,0.0556340781992185,26,1,2,0.0590617011362744,26,1,2,0.0510810999096068,26,1,2,0.0991272006900004
"3.19.1",19,1,3,0.0119948879311647,27,1,2,0.0223257386059447,27,1,2,0.0389970217818147,27,1,2,0.00971578838783272
"4.19.1",19,1,4,0.0555957608196321,28,1,2,0.0541570554183798,28,1,2,0.0863446822346491,28,1,2,0.063576641826839
"5.19.1",19,1,5,0.159840852560945,29,1,2,0.0612796868253496,29,1,2,0.0604590946153759,29,1,2,0.0361778997399113
"1.20.1",20,1,1,0.0897746972932003,30,1,2,0,30,1,2,0.087156648011391,30,1,2,0.00297814053451601
"2.20.1",20,1,2,0.070817007011352,31,1,2,0.00177075730337566,31,1,2,0.151690924059276,31,1,2,0.0148865224248405
"3.20.1",20,1,3,0.0304030133319879,32,1,2,0.197673151581249,32,1,2,0.0724369774118535,32,1,2,0.0925904171377776
"4.20.1",20,1,4,0.050128756754739,33,1,2,0.00913595211374233,33,1,2,0,33,1,2,0
"5.20.1",20,1,5,0.0954678089283017,34,1,2,0.0571154539010184,34,1,2,0.0377684556578092,34,1,2,0.0527431103173002
"1.21.1",21,1,1,0.130789803122353,35,1,2,0,35,1,2,0.0160426659955679,35,1,2,0
"2.21.1",21,1,2,0.085986733648686,36,1,2,0.0448218267537566,36,1,2,0.0574963061766046,36,1,2,0.0286170562397394
"3.21.1",21,1,3,0.0184714349377331,37,1,2,0.0721384459470462,37,1,2,0.0609919550299714,37,1,2,0.042009788196103
"4.21.1",21,1,4,0.119121065160928,38,1,2,0.0642623782098933,38,1,2,0.111037650606115,38,1,2,0.0642623782098933
"5.21.1",21,1,5,0.245418437972152,39,1,2,0.054843297155949,39,1,2,0.0418415009557758,39,1,2,0.0480029861014566
"1.22.1",22,1,1,0.116379427919356,40,1,2,0.0943545892254786,40,1,2,0.0351820432435499,40,1,2,0.0157133961437398
"2.22.1",22,1,2,0.0678624547231856,41,1,2,0,41,1,2,0,41,1,2,0
"3.22.1",22,1,3,0.0157868844412977,42,1,2,0.0680115816662266,42,1,2,0.033074113210052,42,1,2,0.0510985440882444
"4.22.1",22,1,4,0.132345073558382,44,1,2,0.0327285715322841,44,1,2,0.013635152983724,44,1,2,0.0186880854879794
"5.22.1",22,1,5,0.145683103284229,45,1,2,0.04725831873261,45,1,2,0.058793785867618,45,1,2,0.0647456336319215
"1.23.1",23,1,1,0.108170562224321,46,1,2,0.0156513510982979,46,1,2,0.00799016997655777,46,1,2,0.0156513510982979
"2.23.1",23,1,2,0,47,1,2,0.0293332359310522,47,1,2,0.0354544168523644,47,1,2,0.0502947787658509
"3.23.1",23,1,3,0.128584043127727,48,1,2,0.0429735460178509,48,1,2,0.0355223209120696,48,1,2,0.111443367407462
"4.23.1",23,1,4,0.0902881274105314,49,1,2,0.0179633839098986,49,1,2,0.04023010935757,49,1,2,0.0510255369911542
"5.23.1",23,1,5,0.102038741760956,50,1,2,0,50,1,2,0,50,1,2,0
"1.24.1",24,1,1,0.0868061912824468,51,1,2,0.0575506939354431,51,1,2,0.0416445659400511,51,1,2,0.0470702863238154
"2.24.1",24,1,2,0.0658503377224593,53,1,2,0.0601824508058788,53,1,2,0.0578683717076494,53,1,2,0.0145858371467972
"3.24.1",24,1,3,0.0472335613606257,54,1,2,0.125542678069409,54,1,2,0.106447649808241,54,1,2,0.0452157254657461
"4.24.1",24,1,4,0.0332382022820637,55,1,2,0.0277269789744686,55,1,2,0.0618006938599723,55,1,2,0.0189696061426369
"5.24.1",24,1,5,0.0698555379556019,56,1,2,0,56,1,2,0,56,1,2,0.215534518235358
"1.25.1",25,1,1,0.091580829286641,66,1,2,0,66,1,2,0,66,1,2,0
"2.25.1",25,1,2,0.0398873964962195,72,1,2,0,72,1,2,0,72,1,2,0
"3.25.1",25,1,3,0.041069593351968,78,1,2,0.0232923587897016,78,1,2,0.0277280621166927,78,1,2,0.0289036249196279
"4.25.1",25,1,4,0.0301767004227131,1,1,3,0.0224462711264833,1,1,3,0.0234202144874851,1,1,3,0.0043403679924097
"5.25.1",25,1,5,0.125903481058769,2,1,3,0.00483205481918237,2,1,3,0,2,1,3,0.0124386867122643
"1.26.1",26,1,1,0.10606852545132,4,1,3,0.0438270252518818,4,1,3,0.0973091514186938,4,1,3,0.0414661837143036
"2.26.1",26,1,2,0.0722143145415785,5,1,3,0.00840227192736605,5,1,3,0,5,1,3,0.00123453753215786
"3.26.1",26,1,3,0.048677345043113,6,1,3,0.0336584990832665,6,1,3,0.0329621196254548,6,1,3,0.0272299327188255
"4.26.1",26,1,4,0.0490334917524265,8,1,3,0.0565696970280491,8,1,3,0.0366567140043802,8,1,3,0.0297851314234695
"5.26.1",26,1,5,0.128824163543991,9,1,3,0.0611073175306264,9,1,3,0.0728449026037587,9,1,3,0.0643861273416943
"1.27.1",27,1,1,0.077887601183096,10,1,3,0.0170466325380772,10,1,3,0.014861794395145,10,1,3,0.00998452814960158
"2.27.1",27,1,2,0.0223257386059447,11,1,3,0.00226404655451758,11,1,3,0.309919246829218,11,1,3,0.0264424611121985
"3.27.1",27,1,3,0.0397725233673467,12,1,3,0.0483235543846666,12,1,3,0.0566837115942458,12,1,3,0.0626139516325255
"4.27.1",27,1,4,0.0361131246879341,13,1,3,0.0490789624422561,13,1,3,0.0423511672819015,13,1,3,0.0190970243450808
"5.27.1",27,1,5,0,15,1,3,0.0225889912663883,15,1,3,0.0230209294985013,15,1,3,0.0248661983274648
"1.28.1",28,1,1,0.122816610697644,16,1,3,0.0118488217233477,16,1,3,0.00842954765102745,16,1,3,0.0149971303042138
"2.28.1",28,1,2,0.0709356580672561,17,1,3,0.0191511860663363,17,1,3,0.0134717591351594,17,1,3,0.037873771415038
"3.28.1",28,1,3,0,18,1,3,0.0251717237612566,18,1,3,0.0336894456923458,18,1,3,0.0426192851389144
"4.28.1",28,1,4,0.0240975125821197,19,1,3,0.0119948879311647,19,1,3,0.00705468043145455,19,1,3,0.00472627748444734
"5.28.1",28,1,5,0.105959928117817,20,1,3,0.0246838003459113,20,1,3,0.0205651894220115,20,1,3,0.0288153248571534
"1.29.1",29,1,1,0.0970227428584726,21,1,3,0,21,1,3,0.0273425180256536,21,1,3,0.0184714349377331
"2.29.1",29,1,2,0.08487998060544,22,1,3,0.00572142723399075,22,1,3,0.00871635272289486,22,1,3,0.0157868844412977
"3.29.1",29,1,3,0.0297410153519899,23,1,3,0.11452955731422,23,1,3,0.0123639224029566,23,1,3,0.0457332427430317
"4.29.1",29,1,4,0.0439772842492112,24,1,3,0.0359345971576673,24,1,3,0.0219138129991901,24,1,3,0.0339621659591674
"5.29.1",29,1,5,0.0644636975693058,25,1,3,0.036060987441479,25,1,3,0.0502575265457462,25,1,3,0.0339984357618477
"1.30.1",30,1,1,0.0828561927753078,26,1,3,0.0300645837883866,26,1,3,0.0148056867214235,26,1,3,0.0298584583830567
