"","x.state","x.rfbmi5","se"
"1",1,0.696812437984592,0.00785634175441744
"2",2,0.665658936105731,0.0149403177321355
"4",4,0.632026825034305,0.00856062890476652
"5",5,0.682917693994031,0.01243918700302
"6",6,0.610354086544355,0.00635227604106107
"8",8,0.579667642203616,0.00579891468757201
"9",9,0.619742454495025,0.00715947451082693
"10",10,0.678252511022086,0.0114313469421743
"11",11,0.534598602433459,0.0114452547189718
"12",12,0.632825275088064,0.00566236671978307
"13",13,0.658474093642366,0.00932353858657984
"15",15,0.57676031561065,0.00811817513509226
"16",16,0.646723332312966,0.0103178811026451
"17",17,0.650885398701047,0.0089175226381947
"18",18,0.670303628131546,0.00711773872020964
"19",19,0.685619257405649,0.0075920739175318
"20",20,0.667100441404565,0.00591295183519548
"21",21,0.691348726675249,0.00747632633042114
"22",22,0.693213881112614,0.0109433244165029
"23",23,0.652020563891127,0.00780092513103323
"24",24,0.64481678983927,0.00613480041971833
"25",25,0.600096429794852,0.00802758622744609
"26",26,0.675985418089181,0.00578902491687465
"27",27,0.647076538537909,0.00473424896879154
"28",28,0.712340832330742,0.00916489183537399
"29",29,0.672511862488169,0.0091748743991898
"30",30,0.627955899518175,0.00968105842815633
"31",31,0.684981022953056,0.00645511414983261
"32",32,0.622947195990005,0.0115806351330166
"33",33,0.634036766636354,0.00947381115824735
"34",34,0.638674325814039,0.00950793395848433
"35",35,0.648551580581252,0.0100463673755443
"36",36,0.606949352142664,0.00594756189908209
"37",37,0.668656595121091,0.00758397167844904
"38",38,0.680973251009749,0.00885387690469696
"39",39,0.663186157569456,0.00707863252492983
"40",40,0.687794635726047,0.00799706709855905
"41",41,0.627652339533653,0.00818182101558733
"42",42,0.653459698679243,0.00801458935284508
"44",44,0.63677714781105,0.0104756536173065
"45",45,0.672606884511865,0.0069114392004596
"46",46,0.669301051613486,0.011662577318085
"47",47,0.686383368697443,0.00902109813818318
"48",48,0.683826268277279,0.00878685420343881
"49",49,0.602305477306824,0.00686309980484507
"50",50,0.616936022662587,0.00899868760225582
"51",51,0.655860272519034,0.00699927548528396
"53",53,0.63578656836219,0.0056459624511073
"54",54,0.709399364911789,0.00677884411198352
"55",55,0.661179719999278,0.00979389315675788
"56",56,0.640757541724212,0.011782524164162
"66",66,0.641409259153821,0.0183562648208757
"72",72,0.66531796331652,0.00911161848778327
"78",78,0.657413471569163,0.02331758111206
