"","fips","sex","x.race.g1","x.rfbmi5"
"1.17.1",17,1,1,0.734912140705572
"2.17.1",17,1,2,0.740945189387779
"3.17.1",17,1,3,0.713853001214237
"4.17.1",17,1,4,0.548226624712319
"5.17.1",17,1,5,0.452259355166317
"1.18.1",18,1,1,0.718599282581256
"2.18.1",18,1,2,0.729536180174499
"3.18.1",18,1,3,0.689135689587646
"4.18.1",18,1,4,0.4923909476303
"5.18.1",18,1,5,0.748799111195394
"1.19.1",19,1,1,0.769278417661937
"2.19.1",19,1,2,0.667904952974481
"3.19.1",19,1,3,0.656233842756561
"4.19.1",19,1,4,0.67106896473667
"5.19.1",19,1,5,0.924005837750791
"1.20.1",20,1,1,0.726570736422808
"2.20.1",20,1,2,0.795471926029385
"3.20.1",20,1,3,0.768136708955801
"4.20.1",20,1,4,0.579407440971001
"5.20.1",20,1,5,0.702751638168398
"1.21.1",21,1,1,0.742954657185829
"2.21.1",21,1,2,0.697661034441798
"3.21.1",21,1,3,0.664420248034531
"4.21.1",21,1,4,0.56974306623485
"5.21.1",21,1,5,0.777488107270576
"1.22.1",22,1,1,0.744127833721435
"2.22.1",22,1,2,0.705354742336876
"3.22.1",22,1,3,0.736057429094246
"4.22.1",22,1,4,0.833012983095547
"5.22.1",22,1,5,0.688526320575748
"1.23.1",23,1,1,0.726157784095654
"2.23.1",23,1,2,0.656641502665374
"3.23.1",23,1,3,0.597243246309702
"4.23.1",23,1,4,0.605963383829823
"5.23.1",23,1,5,0.675848110171503
"1.24.1",24,1,1,0.711375455565125
"2.24.1",24,1,2,0.719138198228018
"3.24.1",24,1,3,0.706488961655837
"4.24.1",24,1,4,0.477749939331634
"5.24.1",24,1,5,0.601775966266838
"1.25.1",25,1,1,0.69103642307371
"2.25.1",25,1,2,0.656923400313999
"3.25.1",25,1,3,0.7220668554113
"4.25.1",25,1,4,0.575561470753139
"5.25.1",25,1,5,0.771564955750949
"1.26.1",26,1,1,0.737897393411262
"2.26.1",26,1,2,0.690812315057565
"3.26.1",26,1,3,0.766809049130327
"4.26.1",26,1,4,0.57547110015195
"5.26.1",26,1,5,0.702901616604071
"1.27.1",27,1,1,0.742466432356804
"2.27.1",27,1,2,0.636694012069949
"3.27.1",27,1,3,0.737493906403587
"4.27.1",27,1,4,0.622190714088881
"5.27.1",27,1,5,0.692731902797323
"1.28.1",28,1,1,0.758414738386833
"2.28.1",28,1,2,0.741288497072426
"3.28.1",28,1,3,0.559449860584263
"4.28.1",28,1,4,0.674858194021899
"5.28.1",28,1,5,0.561266996374614
"1.29.1",29,1,1,0.75661115548658
"2.29.1",29,1,2,0.718624747781011
"3.29.1",29,1,3,0.691885495056852
"4.29.1",29,1,4,0.64853689464987
"5.29.1",29,1,5,0.748965669848261
"1.30.1",30,1,1,0.697353480870165
"2.30.1",30,1,2,0.45203881787645
"3.30.1",30,1,3,0.693823175373811
"4.30.1",30,1,4,0.709637655875366
"5.30.1",30,1,5,0.581924579171297
"1.31.1",31,1,1,0.748135854144785
"2.31.1",31,1,2,0.692956825251627
"3.31.1",31,1,3,0.81790928548662
"4.31.1",31,1,4,0.617876458585194
"5.31.1",31,1,5,0.79467353473367
"1.32.1",32,1,1,0.692758363912279
"2.32.1",32,1,2,0.702890217093924
"3.32.1",32,1,3,0.735061321615416
"4.32.1",32,1,4,0.598809556730372
"5.32.1",32,1,5,0.757077404595384
"1.33.1",33,1,1,0.72732716288249
"2.33.1",33,1,2,0.641374410490398
