"","fips","sex","x.race.g1","variable","value"
"152",11,2,2,"x.michd",0.063347374
"153",11,2,3,"x.michd",0.01569761
"154",11,2,4,"x.michd",0.032453546
"155",11,2,5,"x.michd",0.091878983
"156",11,2,6,"x.michd",0.038062354
"157",11,3,1,"x.michd",0.023418894
"158",11,3,2,"x.michd",0.065777604
"159",11,3,3,"x.michd",0.012335827
"160",11,3,4,"x.michd",0.022904046
"161",11,3,5,"x.michd",0.046714973
"162",11,3,6,"x.michd",0.040334377
"163",12,1,1,"x.michd",0.118935825
"164",12,1,2,"x.michd",0.072417628
"165",12,1,3,"x.michd",0.056744367
"166",12,1,4,"x.michd",0.0971193
"167",12,1,5,"x.michd",0.04608119
"168",12,1,6,"x.michd",0.096201845
"169",12,2,1,"x.michd",0.063326611
"170",12,2,2,"x.michd",0.054326378
"171",12,2,3,"x.michd",0.042457366
"172",12,2,4,"x.michd",0.027662368
"173",12,2,5,"x.michd",0.086517215
"174",12,2,6,"x.michd",0.055999283
"175",12,3,1,"x.michd",0.090277563
"176",12,3,2,"x.michd",0.062791369
"177",12,3,3,"x.michd",0.049415976
"178",12,3,4,"x.michd",0.059996684
"179",12,3,5,"x.michd",0.068121749
"180",12,3,6,"x.michd",0.075370974
"181",13,1,1,"x.michd",0.096647768
"182",13,1,2,"x.michd",0.057211565
"183",13,1,3,"x.michd",0.05847187
"184",13,1,4,"x.michd",0.002512754
"185",13,1,5,"x.michd",0.192422032
"186",13,1,6,"x.michd",0.078886826
"187",13,2,1,"x.michd",0.066620785
"188",13,2,2,"x.michd",0.055250471
"189",13,2,3,"x.michd",0.062077988
"190",13,2,4,"x.michd",0.003782349
"191",13,2,5,"x.michd",0.036989209
"192",13,2,6,"x.michd",0.059833181
"193",13,3,1,"x.michd",0.081219028
"194",13,3,2,"x.michd",0.056141069
"195",13,3,3,"x.michd",0.060299848
"196",13,3,4,"x.michd",0.0031024
"197",13,3,5,"x.michd",0.119713317
"198",13,3,6,"x.michd",0.06897903
"199",15,1,1,"x.michd",0.085706982
"200",15,1,2,"x.michd",0.033840801
"201",15,1,3,"x.michd",0.042006759
"202",15,1,4,"x.michd",0.065216469
"203",15,1,5,"x.michd",0.069860474
"204",15,1,6,"x.michd",0.068887148
"205",15,2,1,"x.michd",0.046440856
"206",15,2,2,"x.michd",0.123271083
"207",15,2,3,"x.michd",0.023379392
"208",15,2,4,"x.michd",0.046145124
"209",15,2,5,"x.michd",0.035268426
"210",15,2,6,"x.michd",0.04363184
"211",15,3,1,"x.michd",0.068021186
"212",15,3,2,"x.michd",0.073733027
"213",15,3,3,"x.michd",0.03336152
"214",15,3,4,"x.michd",0.055030085
"215",15,3,5,"x.michd",0.052718705
"216",15,3,6,"x.michd",0.056352479
"217",16,1,1,"x.michd",0.076288583
"218",16,1,2,"x.michd",0.092043295
"219",16,1,3,"x.michd",0.022138806
"220",16,1,4,"x.michd",0.086775753
"221",16,1,5,"x.michd",0.032704128
"222",16,1,6,"x.michd",0.07019049
"223",16,2,1,"x.michd",0.056785424
"224",16,2,2,"x.michd",0
"225",16,2,3,"x.michd",0.022352156
"226",16,2,4,"x.michd",0.037819963
"227",16,2,5,"x.michd",0.029483503
"228",16,2,6,"x.michd",0.05203987
"229",16,3,1,"x.michd",0.066420239
"230",16,3,2,"x.michd",0.059582918
"231",16,3,3,"x.michd",0.022246721
"232",16,3,4,"x.michd",0.05909638
"233",16,3,5,"x.michd",0.031713763
"234",16,3,6,"x.michd",0.061061715
"235",17,1,1,"x.michd",0.084613348
"236",17,1,2,"x.michd",0.048065188
"237",17,1,3,"x.michd",0.043703481
"238",17,1,4,"x.michd",0.048232512
"239",17,1,5,"x.michd",0.0487997
"240",17,1,6,"x.michd",0.071132608
"241",17,2,1,"x.michd",0.05381611
"242",17,2,2,"x.michd",0.06384863
"243",17,2,3,"x.michd",0.016434553
"244",17,2,4,"x.michd",0.04453137
"245",17,2,5,"x.michd",0.042274855
"246",17,2,6,"x.michd",0.049008805
"247",17,3,1,"x.michd",0.068752447
"248",17,3,2,"x.michd",0.056649525
"249",17,3,3,"x.michd",0.029332468
"250",17,3,4,"x.michd",0.046712045
"251",17,3,5,"x.michd",0.045368028
"252",17,3,6,"x.michd",0.059739394
"253",18,1,1,"x.michd",0.096295107
"254",18,1,2,"x.michd",0.080109255
"255",18,1,3,"x.michd",0.044181678
"256",18,1,4,"x.michd",0.031078353
"257",18,1,5,"x.michd",0.042254282
"258",18,1,6,"x.michd",0.089362214
"259",18,2,1,"x.michd",0.063550079
"260",18,2,2,"x.michd",0.059524333
