dia,fips,sex,race,diabete3
1,1,1,1,0.146339727
1,1,1,2,0.163848937
1,1,1,3,0.075137236
1,1,1,4,0.187344948
1,1,1,5,0.064306063
1,2,1,1,0.070790363
1,2,1,2,0.174319282
1,2,1,3,0.012474389
1,2,1,4,0.079622417
1,2,1,5,0.074394516
1,4,1,1,0.113892922
1,4,1,2,0.157644236
1,4,1,3,0.131454722
1,4,1,4,0.12790733
1,4,1,5,0.143230992
1,5,1,1,0.134154881
1,5,1,2,0.174932126
1,5,1,3,0.038394949
1,5,1,4,0.128482473
1,5,1,5,0.04595483
1,6,1,1,0.097449605
1,6,1,2,0.078974292
1,6,1,3,0.115612851
1,6,1,4,0.12095969
1,6,1,5,0.037727845
1,8,1,1,0.065119237
1,8,1,2,0.053225041
1,8,1,3,0.078404489
1,8,1,4,0.054720803
1,8,1,5,0.082442223
1,9,1,1,0.100951945
1,9,1,2,0.142243213
1,9,1,3,0.098085124
1,9,1,4,0.078135974
1,9,1,5,0.096647378
1,10,1,1,0.121171867
1,10,1,2,0.107065597
1,10,1,3,0.060631485
1,10,1,4,0.084313396
1,10,1,5,0.163242545
1,11,1,1,0.02623779
1,11,1,2,0.122222461
1,11,1,3,0.01710198
1,11,1,4,0.012472119
1,11,1,5,0
1,12,1,1,0.131959961
1,12,1,2,0.152599408
1,12,1,3,0.099553105
1,12,1,4,0.110868927
1,12,1,5,0.075307705
1,13,1,1,0.131644402
1,13,1,2,0.117327568
1,13,1,3,0.086395625
1,13,1,4,0.061911724
1,13,1,5,0.052137232
1,15,1,1,0.068659066
1,15,1,2,0.102624905
1,15,1,3,0.081752834
1,15,1,4,0.13735086
1,15,1,5,0.117857808
1,16,1,1,0.084089584
1,16,1,2,0
1,16,1,3,0.114563371
1,16,1,4,0.103242667
1,16,1,5,0.161649775
1,17,1,1,0.094774367
1,17,1,2,0.160388595
1,17,1,3,0.089120411
1,17,1,4,0.067880774
1,17,1,5,0.030068604
1,18,1,1,0.114585771
1,18,1,2,0.181292834
1,18,1,3,0.095503336
1,18,1,4,0.056137549
