fips,value,metric
6,0.042535699,8
8,0.041745847,8
9,0.051754238,8
10,0.051970961,8
11,0.043579243,8
12,0.064218368,8
13,0.05618017,8
15,0.045386882,8
16,0.05648376,8
17,0.044325068,8
18,0.064206981,8
19,0.062650359,8
20,0.058751413,8
21,0.103162191,8
22,0.073165516,8
23,0.064138971,8
24,0.049863301,8
25,0.06670467,8
26,0.072912893,8
27,0.046140371,8
28,0.075079982,8
29,0.067588615,8
30,0.063254268,8
31,0.048851427,8
32,0.053098781,8
33,0.058495904,8
34,0.049220353,8
35,0.059880179,8
36,0.05279053,8
37,0.071678603,8
38,0.060561781,8
39,0.072976077,8
40,0.077431864,8
41,0.061980603,8
42,0.060328016,8
44,0.049824996,8
45,0.079682828,8
46,0.069240886,8
47,0.073336435,8
48,0.054359344,8
49,0.03424776,8
50,0.059517436,8
51,0.058085141,8
53,0.05847355,8
54,0.116044739,8
55,0.061275951,8
56,0.048855871,8
66,0.052865148,8
72,0.077465354,8
78,0.02484307,8
1,0.696812438,9
2,0.665658936,9
4,0.632026825,9
5,0.682917694,9
6,0.610354087,9
8,0.579667642,9
9,0.619742454,9
10,0.678252511,9
11,0.534598602,9
12,0.632825275,9
13,0.658474094,9
15,0.576760316,9
16,0.646723332,9
17,0.650885399,9
18,0.670303628,9
19,0.685619257,9
20,0.667100441,9
21,0.691348727,9
22,0.693213881,9
23,0.652020564,9
24,0.64481679,9
25,0.60009643,9
26,0.675985418,9
27,0.647076539,9
28,0.712340832,9
29,0.672511862,9
30,0.6279559,9
31,0.684981023,9
32,0.622947196,9
33,0.634036767,9
34,0.638674326,9
35,0.648551581,9
36,0.606949352,9
37,0.668656595,9
38,0.680973251,9
39,0.663186158,9
40,0.687794636,9
41,0.62765234,9
42,0.653459699,9
44,0.636777148,9
45,0.672606885,9
46,0.669301052,9
47,0.686383369,9
48,0.683826268,9
49,0.602305477,9
50,0.616936023,9
51,0.655860273,9
53,0.635786568,9
54,0.709399365,9
55,0.66117972,9
56,0.640757542,9
66,0.641409259,9
72,0.665317963,9
78,0.657413472,9
1,0.097119322,10
2,0.139645725,10
9,0.097771097,10
10,0.144197407,10
11,0.12456559,10
12,0.1218346,10
15,0.180386944,10
16,0.099679541,10
17,0.099724507,10
19,0.087603108,10
21,0.117811376,10
22,0.095071101,10
28,0.097271569,10
31,0.07776354,10
32,0.123579696,10
35,0.121138232,10
36,0.108498785,10
40,0.10100797,10
41,0.119356105,10
45,0.105832389,10
46,0.089884112,10
51,0.124880297,10
54,0.123256716,10
55,0.108227201,10
66,0.190574842,10
72,0.126056388,10
78,0.146400291,10
10,3.502431115,11
18,3.332255054,11
19,1.824303031,11
28,4.454623856,11
34,2.45830724,11
36,2.21293214,11
54,3.205526924,11
10,3.803294252,12
18,4.679890499,12
19,3.525022068,12
28,5.038339408,12
34,2.143441063,12
36,2.53088164,12
54,4.569488636,12
